repeat,accuracy,balanced_accuracy,precision,recall,f1,n_train,n_test
699,1.0,1.0,1.0,1.0,1.0,20,4
700,1.0,1.0,1.0,1.0,1.0,20,4
701,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
702,1.0,1.0,1.0,1.0,1.0,20,4
703,0.75,0.75,0.6666666666666666,1.0,0.8,20,4
704,1.0,1.0,1.0,1.0,1.0,20,4
705,1.0,1.0,1.0,1.0,1.0,20,4
706,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
707,1.0,1.0,1.0,1.0,1.0,20,4
708,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
709,0.5,0.5,0.0,0.0,0.0,20,4
710,1.0,1.0,1.0,1.0,1.0,20,4
711,1.0,1.0,1.0,1.0,1.0,20,4
712,1.0,1.0,1.0,1.0,1.0,20,4
713,1.0,1.0,1.0,1.0,1.0,20,4
714,0.5,0.5,0.0,0.0,0.0,20,4
715,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
716,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
717,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
718,1.0,1.0,1.0,1.0,1.0,20,4
719,1.0,1.0,1.0,1.0,1.0,20,4
720,0.5,0.5,0.0,0.0,0.0,20,4
721,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
722,0.75,0.75,0.6666666666666666,1.0,0.8,20,4
723,1.0,1.0,1.0,1.0,1.0,20,4
724,1.0,1.0,1.0,1.0,1.0,20,4
725,1.0,1.0,1.0,1.0,1.0,20,4
726,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
727,1.0,1.0,1.0,1.0,1.0,20,4
728,1.0,1.0,1.0,1.0,1.0,20,4
729,1.0,1.0,1.0,1.0,1.0,20,4
730,1.0,1.0,1.0,1.0,1.0,20,4
731,1.0,1.0,1.0,1.0,1.0,20,4
732,1.0,1.0,1.0,1.0,1.0,20,4
733,0.5,0.5,0.5,0.5,0.5,20,4
734,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
735,1.0,1.0,1.0,1.0,1.0,20,4
736,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
737,0.5,0.5,0.5,0.5,0.5,20,4
738,1.0,1.0,1.0,1.0,1.0,20,4
739,1.0,1.0,1.0,1.0,1.0,20,4
740,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
741,1.0,1.0,1.0,1.0,1.0,20,4
742,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
743,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
744,1.0,1.0,1.0,1.0,1.0,20,4
745,0.75,0.75,0.6666666666666666,1.0,0.8,20,4
746,0.5,0.5,0.5,0.5,0.5,20,4
747,0.5,0.5,0.5,1.0,0.6666666666666666,20,4
748,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
749,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
750,0.5,0.5,0.5,0.5,0.5,20,4
751,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
752,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
753,1.0,1.0,1.0,1.0,1.0,20,4
754,1.0,1.0,1.0,1.0,1.0,20,4
755,1.0,1.0,1.0,1.0,1.0,20,4
756,0.5,0.5,0.0,0.0,0.0,20,4
757,1.0,1.0,1.0,1.0,1.0,20,4
758,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
759,0.75,0.75,0.6666666666666666,1.0,0.8,20,4
760,1.0,1.0,1.0,1.0,1.0,20,4
761,1.0,1.0,1.0,1.0,1.0,20,4
762,0.5,0.5,0.0,0.0,0.0,20,4
763,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
764,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
765,0.5,0.5,0.5,0.5,0.5,20,4
766,0.5,0.5,0.0,0.0,0.0,20,4
767,1.0,1.0,1.0,1.0,1.0,20,4
768,0.5,0.5,0.0,0.0,0.0,20,4
769,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
770,1.0,1.0,1.0,1.0,1.0,20,4
771,1.0,1.0,1.0,1.0,1.0,20,4
772,0.5,0.5,0.0,0.0,0.0,20,4
773,1.0,1.0,1.0,1.0,1.0,20,4
774,1.0,1.0,1.0,1.0,1.0,20,4
775,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
776,0.5,0.5,0.0,0.0,0.0,20,4
777,1.0,1.0,1.0,1.0,1.0,20,4
778,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
779,0.75,0.75,0.6666666666666666,1.0,0.8,20,4
780,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
781,1.0,1.0,1.0,1.0,1.0,20,4
782,1.0,1.0,1.0,1.0,1.0,20,4
783,1.0,1.0,1.0,1.0,1.0,20,4
784,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
